Year,Month,Region,Org Code,Org Name,A0,A1,A2,A3,A4,A114,A5,A6,A111,A112,A113,A7,A8,A9,A10,A11,A12,A24,A25,A26,A27,A28,A29,A30,A31,A32,A33,A34,A35,A36,A37,A38,A17,A18,A19,A20,A21,A22,A23,A53,A54,A55,A56,A39,A40,A41,A42,A43,A44,A45,A46,A47,A48,A74,A82,A83,A84,A78,A94,A95,A96,A115,A116,A117,A118,A75,A85,A86,A87,A79,A97,A98,A99,A119,A120,A121,A122,A76,A88,A89,A90,A80,A100,A101,A102,A77,A91,A92,A93,A81,A103,A104,A105,A49,A50,A51,A52,A13,A14,A15,A16,A106,A107,A108,A109,A110,A57,A58,A59,A60,A61,A62,A63,A64,A65,A66,A67,A68,A69,A70,A71,A72,A73
2017,9,Y56,RRU,LONDON AMBULANCE SERVICE NHS TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y63,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y62,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,125385,96984,5508018,57,2,.,175,263,.,.,.,.,7521,5362,47669,21630,2926,4434136,590,981,4900340,914,1664,71741773,1505,3373,66320301,3066,7101,15622188,5339,9714,.,.,.,.,.,.,.,59014,6720,21544,87278,15096,13038,10673,9435,65770,56721,31707,25038,4109,3224,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1628,93483,57,143,.,.,.,.,.,258,3242,1432,125,1045,16113705,4970,10406,7697687,5375,11020,749965,6000,12021,6259876,5990,13532
2017,9,Y59,RYE,SOUTH CENTRAL AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y59,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y58,RYF,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,9,Y60,RYA,WEST MIDLANDS AMBULANCE SERVICE UNIVERSITY NHS FOUNDATION TRUST,84054,60848,198323,3,1,.,17,45,.,.,.,65662,5040,3332,27480,26737,1741,2100493,417,719,1687820,507,908,20325728,740,1344,54339331,2032,4647,5768596,3313,8141,2275,0,12,0,200,2063,1251,37785,2433,23169,63387,9022,6835,5856,4525,35543,29317,45143,28316,3802,1845,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3810,213928,56,74,.,.,.,.,.,198,1,1123,0,1067,195,195,195,6720898,5985,13868,.,.,.,8950483,8388,19977
2017,9,Y63,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,89236,64544,323431,5,1,.,23,78,.,.,.,63236,8506,6610,30731,13351,1171,3694526,434,808,3938472,596,1167,39300428,1279,2689,37892388,2838,6560,5779201,4935,11704,4281,1544,119,3421,2596,22,1806,38795,6097,14063,58955,18710,15000,14314,11743,50463,38339,26112,16214,2405,1365,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3884,117510,30,52,.,.,.,.,.,91,2229,753,78,2045,17440550,7824,18915,4893654,6499,14236,432947,5551,12132,22105770,10810,25555
2017,10,Eng,Eng,England,416653,316099,4282835,14,2,.,59,124,.,.,.,307209,27768,19786,154158,83585,7428,13183720,475,823,15146045,765,1506,202816486,1316,2802,224828822,2690,6277,30537984,4111,9071,14276,2974,2638,8959,3763,4901,4028,191251,17233,84449,292933,54969,44555,39205,32430,213996,178481,133791,92767,13052,8120,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,3801,173,294,11700,465633,40,65,.,.,.,.,.,641,6540,4554,236,6529,38407522,5873,13013,26142475,5741,12211,1633525,6922,13526,65584935,10045,20240
2017,10,North East and Yorkshire,Y63,North East and Yorkshire,91503,66262,340293,5,3,.,19,77,.,.,.,66358,8629,6617,32293,14113,1373,3723032,431,797,3884624,587,1152,38055287,1178,2481,34152749,2420,5502,5545931,4039,10385,4191,1491,116,3467,2567,17,2002,40725,6289,15153,62167,18906,15079,14288,11636,52313,40043,27509,17142,2743,1616,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,3891,115313,30,51,.,.,.,.,.,84,2634,863,102,2076,16291783,6185,14537,5106990,5918,13497,616303,6042,11642,19397008,9343,21032
